,time,COUNTRY NAME,TOTAL REQUEST,TOTAL IMPRESSION,TOTAL BID VALUE,TOTAL CLICK,TOTAL WIN,TOTAL WIN BID VALUE,TOTAL CLIENT RENDER,Conversions,Revenue,PubIncome,CTR (%),FR (%)
,2014-07-30 19:30:00.0,India,9,12,0.066,0,0,0.000,0,0,0.000,0.000,0.000,133.333
,2014-07-30 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-30 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 09:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 10:30:00.0,India,10,10,0.050,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 11:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 12:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 13:30:00.0,India,7,7,0.035,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 15:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 16:30:00.0,India,2,2,0.010,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 22:30:00.0,India,3,3,0.015,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-07-31 23:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 00:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 10:30:00.0,India,5,5,0.025,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 11:30:00.0,India,3,3,0.015,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 12:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 13:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 14:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 15:30:00.0,India,1,1,0.005,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 18:30:00.0,India,6,8,0.042,0,0,0.000,0,0,0.000,0.000,0.000,133.333
,2014-08-01 19:30:00.0,India,6,6,0.030,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 20:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 21:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 22:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-01 23:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 00:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 01:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 02:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 03:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 04:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 05:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 06:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 07:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 08:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 09:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
,2014-08-02 10:30:00.0,India,4,4,0.020,0,0,0.000,0,0,0.000,0.000,0.000,100.000
